model,region,scenario,unit,variable,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Unknown,AZE,Historical,"national currency, constant prices",GDP,,,,,,,,,,,,,34.58542737421501,26.59619365077134,21.356743501569387,18.580366846365365,19.044876017524498,20.739869983084176,21.984262182069227,24.49046807082512,26.008877091216277,27.699454102145335,30.303202787747,33.3941294720972,36.499783513002235,46.719722896642864,62.83802729598465,78.86172425646073,87.22106702764557,95.41984732824427,100.0,98.4,100.5648,106.39755840000001,109.37669003520001,110.47045693555201,107.04587277054989,107.25996451609099,108.86886398383234,111.59058558342814,106.79219040334073,112.77255306592781,115.93018455177379,118.94436935011991,121.9179785838729,124.9659280484697,128.09007624968143,131.29232815592346,134.57463635982154,137.93900226881706,141.38747732553747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unknown,BHS,Historical,"national currency, constant prices",GDP,55.58167901141281,53.969810320081834,57.36990837024699,61.27106213942379,62.741567630769964,65.31397190363153,67.01213517312594,69.4915841745316,71.08989061054582,72.72495809458837,73.52493263362884,70.43688546301642,67.7602838154218,67.96356466686805,70.07043517154095,73.15353431908875,76.22598276049048,79.96105591575451,83.71922554379498,89.66329055740441,93.33948547025798,95.7663120924847,98.35200251898178,97.07342648623501,97.94708732461112,101.2772882936479,103.80922050098908,105.26254958800293,102.84151094747885,98.52216748768474,100.0,100.6,103.71859999999998,99.98473039999998,102.28437919919996,103.92092926638716,104.02485019565354,105.689247798784,108.64854673714996,109.40908656431,93.54476901248505,98.78327607718421,104.71027264181527,109.00339382012969,112.27349563473358,114.4066920517935,116.2371991246222,117.98075711149151,119.75046846816387,121.54672549518632,123.3699263776141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unknown,BHR,Historical,"national currency, constant prices",GDP,28.70045359093637,29.504066291482587,31.392326534137474,33.5897893915271,35.00056054597124,34.6855555010575,34.85898327856278,34.440675479220026,36.50711600797323,36.87218716805296,38.16271371893481,39.04045613447031,41.8123285200177,44.99006548753905,46.4297475831403,47.31191278721996,48.825893996411,49.948889558328446,52.34643625712821,55.4872224325559,59.37132800283482,60.855611202905685,62.863846372601564,66.82426869407546,71.50196750266075,76.36410129284168,81.32776787687638,88.07797261065711,93.53880691251786,95.87727708533079,100.0,102.0,105.77399999999999,111.485796,116.391171024,119.30095029959999,123.5957845103856,128.91040324433217,131.61752171246314,134.51310719013733,127.9219649378206,130.73624816645267,135.0505443559456,139.10206068662396,143.27512250722268,147.57337618243935,152.00057746791254,156.7125953694178,161.57068582586976,166.5793770864717,171.74333777615232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unknown,BGD,Historical,"national currency, constant prices",GDP,24.736436236783593,25.800102994965286,26.419305466844452,27.47607768551823,28.90483372516518,29.829788404370465,31.082639517354025,32.23269717949612,32.941816517445034,33.798303746898604,35.79240366796562,36.97355298900848,38.822230638458905,40.60805324782802,42.272983430988965,44.34435961910742,46.384200161586364,48.88894697031203,51.43117221276825,53.95129965119389,57.13442633061433,60.16255092613689,62.80970316688691,66.13861743473191,70.30535033312002,74.52367135310722,79.44223366241229,85.08263225244356,90.18759018759017,94.69696969696969,100.0,106.5,113.4225,120.22785,127.56174885,135.9808242741,145.6354627975611,156.26685158178304,168.6119328567439,182.4381113509969,188.82344524828179,198.26461751069587,210.9535530313804,225.0874410844829,241.29373684256566,258.6668858952304,277.03223479379176,296.14745899456335,316.58163366518824,338.42576638808623,361.77714426886416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unknown,BRB,Historical,"national currency, constant prices",GDP,75.71400515172442,74.27543905384165,70.6359425402034,70.98912225290441,73.54473065400897,74.35372269120306,78.14576254845441,80.17755237471422,82.98376670782922,85.97118230931108,83.1341332931038,79.89190209467274,75.33806367527639,75.9407681846786,77.45958354837218,79.00877521933963,82.16912622811321,86.03107516083453,89.2142249417854,89.48186761661076,93.50855165935823,91.26434641953364,91.99446119088991,94.01833933708949,95.33459608780873,99.14797993132109,104.79941478740639,107.10500191272934,107.85473692611843,102.35414534288638,100.0,99.3,98.9028,97.5181608,97.4206426392,99.7587380625408,102.25270651410432,102.76397004667483,102.14738622639477,100.81947020545164,87.00720278730476,88.22530362632703,98.10653763247566,102.91375797646697,106.00117071576098,108.75720115437076,111.25861678092127,113.26127188297785,115.29997477687145,117.37537432285514,119.48813106066653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unknown,BLR,Historical,"national currency, constant prices",GDP,,43.443807856209524,45.18156017045791,47.1243672577876,48.53809827552123,49.36324594620508,51.14032280026847,52.57225183867599,55.35858118612581,57.019338621709586,55.70789383341027,55.039399107409345,49.75561679309805,45.9741899168226,40.595209696554356,36.08914142023682,37.09963738000345,41.32899604132385,44.80063170879505,46.323853186894084,49.01063667173394,51.314136595305435,53.87984342507071,57.65143246482566,64.22369576581579,70.32494686356829,77.35744154992513,84.01018152321869,92.57922003858701,92.76437847866418,100.0,105.3,106.98479999999999,108.054648,109.89157701599999,105.71569708939198,103.07280466215718,105.6496247787111,108.92476314685113,110.44970983090705,109.67656186209071,112.19912278491879,105.01837892668398,105.43845244239071,107.75809839612332,108.51240508489617,109.16347951540556,109.81846039249798,110.47737115485297,111.14023538178209,111.80707679407278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unknown,BEL,Historical,"national currency, constant prices",GDP,55.552947149507354,55.38628830805883,55.718606037907186,55.8857618560209,57.28290590242142,58.25671530276258,59.30533617821231,60.66935891031118,63.520818779095805,65.74404743636416,67.78211290689144,69.0021909392155,70.03722380330372,69.33685156527068,71.55563081535934,73.27296595492797,74.22551451234203,77.04608406381104,78.58700574508725,81.33755094616531,84.34704033117342,85.27485777481631,86.72453035698818,87.59177566055807,90.74507958433817,92.83221641477795,95.24585404156217,98.76995064109997,99.16503044366436,97.18172983479107,100.0,101.69999999999999,102.41189999999997,102.92395949999997,104.57074285199997,106.66215770903997,108.04876575925748,109.7775460114056,111.7535418396109,114.10036621824273,107.59664534380289,114.37523400046247,116.77711391447217,118.41199350927478,120.06976141840462,121.39052879400707,122.84721513953515,124.32138172120958,125.81323830186409,127.32299716148646,128.8508731274243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unknown,BLZ,Historical,"national currency, constant prices",GDP,19.09632526846074,19.13451791899766,17.68029455715384,18.758792525140223,20.878536080481066,20.58623657535433,22.089031845355194,26.948618851333336,29.88601830612867,34.51835114357861,38.384406471659425,42.79861321590026,47.97724541502419,50.99981187617072,51.10181149992306,51.4084223689226,52.128140282087514,53.95262519196057,55.94887232406311,60.872373088580666,68.78578159009615,72.22507066960095,75.9085492737506,82.96804435620939,86.78457439659502,88.69383503332011,92.77375144485285,93.88703646219108,96.51587348313242,96.8054211035818,100.0,101.6,104.0384,104.8707072,109.58988902399999,112.76799580569597,112.54245981408458,114.90585147018035,117.20396849958397,119.54804786957564,99.5835238753565,109.34270921514145,115.57524364040451,119.50480192417827,121.89489796266183,124.33279592191506,126.81945184035337,129.35584087716043,131.94295769470364,134.58181684859773,137.27345318556968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unknown,BEN,Historical,"national currency, constant prices",GDP,37.59311074068818,38.30737984476126,38.958605302122194,38.17943319607975,38.33215092886407,39.98043341880522,41.059905121112955,40.19764711356958,41.56436711543095,40.40056483619888,44.03661567145679,45.886153529657975,47.262738135547714,50.003976947409484,51.004056486357676,54.06429987553914,56.38906477018732,59.60324146208799,61.98737112057152,64.71481544987667,68.53298956141938,72.16523800817461,75.48483895655065,78.05132348107337,81.4855817142406,82.87083660338268,86.1027992309146,91.26896718476948,95.74114657682318,97.94319294809011,100.0,103.0,107.944,115.715968,123.12178995200001,125.33798217113602,129.4741355827835,136.85416131100214,146.02339011883927,156.09900403703918,162.03076619044668,172.7247967590162,182.91555976779813,194.0734089136338,205.71781344845186,218.060882255359,231.14453519068053,245.01320730212137,259.71399974024865,275.2968397246636,291.81465010814344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unknown,BTN,Historical,"national currency, constant prices",GDP,10.573283457903521,12.011250008178402,12.996172508849032,13.94489310199501,15.004704977746632,15.649907291789736,16.901899875132916,20.316083649909764,23.38381228104614,24.833608642471003,27.093467028935862,28.421046913353717,29.017888898534142,29.946461343287236,30.605283492839558,32.44160050240993,34.388096532554535,36.279441841845035,38.45620835235574,41.186599145372995,44.02847448640373,47.11046770045199,51.58596213199493,56.38345661027046,60.273915116379115,64.31226742917652,68.87843841664805,77.76375697239565,86.31777023935918,91.32420091324201,100.0,109.89999999999999,117.04349999999998,121.25706599999998,126.10734863999998,133.92600425568,143.83652857060034,152.89822987054814,158.70836260562896,165.69153056027665,161.71493382683,155.7314812752373,162.58366645134774,169.89993144165837,181.28322684824946,192.52278691284093,203.88163134069853,215.70676595845904,228.2177583840497,241.45438837032458,255.45874289580343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
